,,PressureMeas_1m,,TAStat155_1m_1,,RHStat155_1m_1,,SRMeasQMS101R_1m,,PRMeasQMR101_1,,QFE_1m,,QNH_1m,,WS_1m,,WD_1m,,TGMeasQMT103_1m,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,PR,status,QF,status,QNH,status,Avg,status,Avg,status,Avg,
2/5/25 12:00:06 AM,VALID,1007.558,VALID,24.345,VALID,93.933,VALID,148.616,VALID,0.0,VALID,1007.558,VALID,1007.558,VALID,2.13,VALID,304.885,INVALID,0.0,
2/5/25 12:01:06 AM,VALID,1007.561,VALID,24.352,VALID,93.79,VALID,149.007,VALID,0.0,VALID,1007.561,VALID,1007.561,VALID,1.815,VALID,303.155,INVALID,0.0,
2/5/25 12:02:06 AM,VALID,1007.577,VALID,24.377,VALID,93.882,VALID,149.083,VALID,0.0,VALID,1007.577,VALID,1007.577,VALID,2.121,VALID,302.031,INVALID,0.0,
2/5/25 12:03:06 AM,VALID,1007.579,VALID,24.376,VALID,93.718,VALID,149.312,VALID,0.0,VALID,1007.579,VALID,1007.579,VALID,2.218,VALID,299.621,INVALID,0.0,
2/5/25 12:04:06 AM,VALID,1007.602,VALID,24.386,VALID,93.374,VALID,149.645,VALID,0.0,VALID,1007.602,VALID,1007.602,VALID,2.279,VALID,296.196,INVALID,0.0,
2/5/25 12:05:06 AM,VALID,1007.623,VALID,24.424,VALID,93.287,VALID,150.022,VALID,0.0,VALID,1007.623,VALID,1007.623,VALID,1.646,VALID,291.049,INVALID,0.0,
2/5/25 12:06:06 AM,VALID,1007.635,VALID,24.449,VALID,93.237,VALID,150.173,VALID,0.0,VALID,1007.635,VALID,1007.635,VALID,1.941,VALID,299.132,INVALID,0.0,
2/5/25 12:07:06 AM,VALID,1007.638,VALID,24.474,VALID,93.139,VALID,150.55,VALID,0.0,VALID,1007.638,VALID,1007.638,VALID,1.884,VALID,300.297,INVALID,0.0,
2/5/25 12:08:06 AM,VALID,1007.67,VALID,24.481,VALID,92.308,VALID,151.173,VALID,0.0,VALID,1007.67,VALID,1007.67,VALID,2.014,VALID,304.868,INVALID,0.0,
2/5/25 12:09:06 AM,VALID,1007.691,VALID,24.496,VALID,92.16,VALID,151.752,VALID,0.0,VALID,1007.691,VALID,1007.691,VALID,1.928,VALID,297.045,INVALID,0.0,
2/5/25 12:10:06 AM,VALID,1007.718,VALID,24.522,VALID,92.189,VALID,152.836,VALID,0.0,VALID,1007.718,VALID,1007.718,VALID,1.809,VALID,300.67,INVALID,0.0,
2/5/25 12:11:06 AM,VALID,1007.752,VALID,24.557,VALID,92.693,VALID,153.826,VALID,0.0,VALID,1007.752,VALID,1007.752,VALID,1.687,VALID,295.409,INVALID,0.0,
2/5/25 12:12:06 AM,VALID,1007.78,VALID,24.591,VALID,92.93,VALID,154.57,VALID,0.0,VALID,1007.78,VALID,1007.78,VALID,1.497,VALID,295.48,INVALID,0.0,
2/5/25 12:13:06 AM,VALID,1007.815,VALID,24.628,VALID,93.329,VALID,154.89,VALID,0.0,VALID,1007.815,VALID,1007.815,VALID,1.919,VALID,295.62,INVALID,0.0,
2/5/25 12:14:06 AM,VALID,1007.83,VALID,24.614,VALID,92.163,VALID,155.472,VALID,0.0,VALID,1007.83,VALID,1007.83,VALID,1.851,VALID,284.416,INVALID,0.0,
2/5/25 12:15:06 AM,VALID,1007.853,VALID,24.625,VALID,91.864,VALID,156.337,VALID,0.0,VALID,1007.853,VALID,1007.853,VALID,1.487,VALID,290.112,INVALID,0.0,
2/5/25 12:16:06 AM,VALID,1007.878,VALID,24.666,VALID,92.667,VALID,157.193,VALID,0.0,VALID,1007.878,VALID,1007.878,VALID,1.534,VALID,291.58,INVALID,0.0,
2/5/25 12:17:06 AM,VALID,1007.9,VALID,24.673,VALID,92.272,VALID,157.826,VALID,0.0,VALID,1007.9,VALID,1007.9,VALID,1.893,VALID,294.72,INVALID,0.0,
2/5/25 12:18:06 AM,VALID,1007.915,VALID,24.686,VALID,92.291,VALID,158.597,VALID,0.0,VALID,1007.915,VALID,1007.915,VALID,1.738,VALID,296.213,INVALID,0.0,
2/5/25 12:19:06 AM,VALID,1007.932,VALID,24.694,VALID,92.161,VALID,159.379,VALID,0.0,VALID,1007.932,VALID,1007.932,VALID,1.837,VALID,294.449,INVALID,0.0,
2/5/25 12:20:06 AM,VALID,1007.952,VALID,24.685,VALID,91.522,VALID,160.514,VALID,0.0,VALID,1007.952,VALID,1007.952,VALID,1.789,VALID,288.007,INVALID,0.0,
2/5/25 12:21:06 AM,VALID,1007.963,VALID,24.67,VALID,90.907,VALID,162.047,VALID,0.0,VALID,1007.963,VALID,1007.963,VALID,1.413,VALID,283.724,INVALID,0.0,
2/5/25 12:22:06 AM,VALID,1007.989,VALID,24.673,VALID,91.149,VALID,163.663,VALID,0.0,VALID,1007.989,VALID,1007.989,VALID,1.12,VALID,289.546,INVALID,0.0,
2/5/25 12:23:06 AM,VALID,1008.013,VALID,24.691,VALID,91.708,VALID,165.181,VALID,0.0,VALID,1008.013,VALID,1008.013,VALID,1.391,VALID,295.759,INVALID,0.0,
2/5/25 12:24:06 AM,VALID,1008.023,VALID,24.704,VALID,91.594,VALID,166.068,VALID,0.0,VALID,1008.023,VALID,1008.023,VALID,1.566,VALID,289.47,INVALID,0.0,
2/5/25 12:25:06 AM,VALID,1008.039,VALID,24.721,VALID,91.589,VALID,167.961,VALID,0.0,VALID,1008.039,VALID,1008.039,VALID,1.491,VALID,291.556,INVALID,0.0,
2/5/25 12:26:06 AM,VALID,1008.055,VALID,24.735,VALID,91.454,VALID,169.125,VALID,0.0,VALID,1008.055,VALID,1008.055,VALID,1.908,VALID,278.194,INVALID,0.0,
2/5/25 12:27:06 AM,VALID,1008.067,VALID,24.731,VALID,90.843,VALID,170.798,VALID,0.0,VALID,1008.067,VALID,1008.067,VALID,2.184,VALID,286.749,INVALID,0.0,
