,,PressureMeas_1m,,TAStat155_1m_1,,RHStat155_1m_1,,SRMeasQMS101R_1m,,PRMeasQMR101_1,,QFE_1m,,QNH_1m,,WS_1m,,WD_1m,,TGMeasQMT103_1m,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,PR,status,QF,status,QNH,status,Avg,status,Avg,status,Avg,
2/6/25 12:00:07 AM,VALID,1008.206,VALID,24.297,VALID,94.981,VALID,51.649,VALID,0.0,VALID,1008.206,VALID,1008.062,VALID,1.67,VALID,311.773,INVALID,0.0,
2/6/25 12:01:06 AM,VALID,1008.227,VALID,24.299,VALID,94.936,VALID,53.108,VALID,0.0,VALID,1008.227,VALID,1008.083,VALID,1.831,VALID,326.312,INVALID,0.0,
2/6/25 12:02:06 AM,VALID,1008.227,VALID,24.325,VALID,94.932,VALID,54.529,VALID,0.0,VALID,1008.227,VALID,1008.084,VALID,0.834,VALID,284.182,INVALID,0.0,
2/6/25 12:03:07 AM,VALID,1008.224,VALID,24.341,VALID,94.963,VALID,55.793,VALID,0.0,VALID,1008.224,VALID,1008.081,VALID,1.248,VALID,320.443,INVALID,0.0,
2/6/25 12:04:06 AM,VALID,1008.233,VALID,24.325,VALID,94.843,VALID,56.984,VALID,0.0,VALID,1008.233,VALID,1008.09,VALID,1.986,VALID,319.78,INVALID,0.0,
2/6/25 12:05:06 AM,VALID,1008.248,VALID,24.314,VALID,94.774,VALID,58.005,VALID,0.0,VALID,1008.248,VALID,1008.105,VALID,2.139,VALID,311.95,INVALID,0.0,
2/6/25 12:06:07 AM,VALID,1008.257,VALID,24.301,VALID,94.607,VALID,58.911,VALID,0.0,VALID,1008.257,VALID,1008.113,VALID,1.733,VALID,312.017,INVALID,0.0,
2/6/25 12:07:06 AM,VALID,1008.278,VALID,24.358,VALID,94.676,VALID,59.742,VALID,0.0,VALID,1008.278,VALID,1008.135,VALID,1.636,VALID,309.653,INVALID,0.0,
2/6/25 12:08:06 AM,VALID,1008.272,VALID,24.361,VALID,94.574,VALID,61.036,VALID,0.0,VALID,1008.272,VALID,1008.129,VALID,1.371,VALID,293.659,INVALID,0.0,
